/home/jiaxiang.hao/anaconda3/lib/python3.6/site-packages/h5py/__init__.py:34: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
WARNING:tensorflow:From densifier_v2_cp.py:34: The name tf.reset_default_graph is deprecated. Please use tf.compat.v1.reset_default_graph instead.

WARNING:tensorflow:From densifier_v2_cp.py:257: The name tf.random_normal is deprecated. Please use tf.random.normal instead.

WARNING:tensorflow:From densifier_v2_cp.py:261: The name tf.placeholder is deprecated. Please use tf.compat.v1.placeholder instead.

WARNING:tensorflow:From densifier_v2_cp.py:287: The name tf.train.exponential_decay is deprecated. Please use tf.compat.v1.train.exponential_decay instead.

WARNING:tensorflow:From densifier_v2_cp.py:294: The name tf.train.GradientDescentOptimizer is deprecated. Please use tf.compat.v1.train.GradientDescentOptimizer instead.

WARNING:tensorflow:From densifier_v2_cp.py:308: The name tf.Session is deprecated. Please use tf.compat.v1.Session instead.

2020-04-27 15:26:56.513315: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcuda.so.1
2020-04-27 15:26:56.546076: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1640] Found device 0 with properties: 
name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:84:00.0
2020-04-27 15:26:56.546312: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcudart.so.10.0'; dlerror: libcudart.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546473: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcublas.so.10.0'; dlerror: libcublas.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546626: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcufft.so.10.0'; dlerror: libcufft.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546770: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcurand.so.10.0'; dlerror: libcurand.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.546911: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcusolver.so.10.0'; dlerror: libcusolver.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.547051: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Could not dlopen library 'libcusparse.so.10.0'; dlerror: libcusparse.so.10.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda/lib64:
2020-04-27 15:26:56.555219: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcudnn.so.7
2020-04-27 15:26:56.555260: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1663] Cannot dlopen some GPU libraries. Skipping registering GPU devices...
2020-04-27 15:26:56.555954: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2020-04-27 15:26:56.724195: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55e039c43de0 executing computations on platform CUDA. Devices:
2020-04-27 15:26:56.724278: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): GeForce RTX 2080 Ti, Compute Capability 7.5
2020-04-27 15:26:56.729519: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2197365000 Hz
2020-04-27 15:26:56.734480: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55e039d80390 executing computations on platform Host. Devices:
2020-04-27 15:26:56.734545: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): <undefined>, <undefined>
2020-04-27 15:26:56.734725: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1181] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-04-27 15:26:56.734773: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1187]      
WARNING:tensorflow:From densifier_v2_cp.py:309: The name tf.global_variables_initializer is deprecated. Please use tf.compat.v1.global_variables_initializer instead.

2020-04-27 15:26:56.761134: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1412] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag, not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
WARNING:tensorflow:From densifier_v2_cp.py:313: The name tf.train.Saver is deprecated. Please use tf.compat.v1.train.Saver instead.

====================================================================================================
len data separate: 19560960
beginning to work on aligned pairs...
Lenght of pairs_align: 19578168
eavluation: step:0 , loss : -46.63346481323242, lr:4.949999809265137, Q distance:1180.633056640625
eavluation: step:21400 , loss : -62485.5703125, lr:0.0, Q distance:0.0
eavluation: step:21500 , loss : 19068.599609375, lr:0.0, Q distance:0.0
eavluation: step:21600 , loss : -32023.4296875, lr:0.0, Q distance:0.0
eavluation: step:21700 , loss : -14250.595703125, lr:0.0, Q distance:0.0
eavluation: step:21800 , loss : -21536.12109375, lr:0.0, Q distance:0.0
eavluation: step:21900 , loss : -54880.33984375, lr:0.0, Q distance:0.0
eavluation: step:22000 , loss : -39871.4375, lr:0.0, Q distance:0.0
eavluation: step:22100 , loss : -9088.697265625, lr:0.0, Q distance:0.0
eavluation: step:22200 , loss : -16432.6015625, lr:0.0, Q distance:0.0
eavluation: step:22300 , loss : -16535.27734375, lr:0.0, Q distance:0.0
eavluation: step:22400 , loss : -21894.0859375, lr:0.0, Q distance:0.0
eavluation: step:22500 , loss : -60019.6484375, lr:0.0, Q distance:0.0
eavluation: step:22600 , loss : -25475.146484375, lr:0.0, Q distance:0.0
eavluation: step:22700 , loss : -3333.646484375, lr:0.0, Q distance:0.0
eavluation: step:22800 , loss : -25516.85546875, lr:0.0, Q distance:0.0
eavluation: step:22900 , loss : -13257.7998046875, lr:0.0, Q distance:0.0
eavluation: step:23000 , loss : -39538.69140625, lr:0.0, Q distance:0.0
eavluation: step:23100 , loss : -8278.947265625, lr:0.0, Q distance:0.0
eavluation: step:23200 , loss : -37952.328125, lr:0.0, Q distance:0.0
eavluation: step:23300 , loss : -39192.44140625, lr:0.0, Q distance:0.0
eavluation: step:23400 , loss : -9458.0654296875, lr:0.0, Q distance:0.0
eavluation: step:23500 , loss : -30493.197265625, lr:0.0, Q distance:0.0
eavluation: step:23600 , loss : -42541.97265625, lr:0.0, Q distance:0.0
eavluation: step:23700 , loss : -12741.013671875, lr:0.0, Q distance:0.0
eavluation: step:23800 , loss : -45894.875, lr:0.0, Q distance:0.0
eavluation: step:23900 , loss : -44968.1015625, lr:0.0, Q distance:0.0
eavluation: step:24000 , loss : -59628.66796875, lr:0.0, Q distance:0.0
eavluation: step:24100 , loss : -16117.4765625, lr:0.0, Q distance:0.0
eavluation: step:24200 , loss : -49126.859375, lr:0.0, Q distance:0.0
eavluation: step:24300 , loss : -36958.28515625, lr:0.0, Q distance:0.0
eavluation: step:24400 , loss : -41123.9765625, lr:0.0, Q distance:0.0
eavluation: step:24500 , loss : -86706.203125, lr:0.0, Q distance:0.0
eavluation: step:24600 , loss : -53351.62109375, lr:0.0, Q distance:0.0
eavluation: step:24700 , loss : -5534.1748046875, lr:0.0, Q distance:0.0
eavluation: step:24800 , loss : -32826.70703125, lr:0.0, Q distance:0.0
eavluation: step:24900 , loss : -48597.0625, lr:0.0, Q distance:0.0
eavluation: step:25000 , loss : -62085.01171875, lr:0.0, Q distance:0.0
eavluation: step:25100 , loss : -15088.029296875, lr:0.0, Q distance:0.0
eavluation: step:25200 , loss : -33214.34765625, lr:0.0, Q distance:0.0
eavluation: step:25300 , loss : -10169.6337890625, lr:0.0, Q distance:0.0
eavluation: step:25400 , loss : -11538.98828125, lr:0.0, Q distance:0.0
eavluation: step:25500 , loss : -12346.30859375, lr:0.0, Q distance:0.0
eavluation: step:25600 , loss : -42943.3515625, lr:0.0, Q distance:0.0
eavluation: step:25700 , loss : -9340.2568359375, lr:0.0, Q distance:0.0
eavluation: step:25800 , loss : -53850.5703125, lr:0.0, Q distance:0.0
eavluation: step:25900 , loss : -24416.623046875, lr:0.0, Q distance:0.0
eavluation: step:26000 , loss : -51012.30859375, lr:0.0, Q distance:0.0
eavluation: step:26100 , loss : -9210.5673828125, lr:0.0, Q distance:0.0
eavluation: step:26200 , loss : 8513.615234375, lr:0.0, Q distance:0.0
eavluation: step:26300 , loss : -28683.849609375, lr:0.0, Q distance:0.0
eavluation: step:26400 , loss : -21789.845703125, lr:0.0, Q distance:0.0
eavluation: step:26500 , loss : -71304.859375, lr:0.0, Q distance:0.0
eavluation: step:26600 , loss : 8617.11328125, lr:0.0, Q distance:0.0
eavluation: step:26700 , loss : -39518.0546875, lr:0.0, Q distance:0.0
eavluation: step:26800 , loss : -42321.03515625, lr:0.0, Q distance:0.0
eavluation: step:26900 , loss : -50291.8984375, lr:0.0, Q distance:0.0
eavluation: step:27000 , loss : -63337.58984375, lr:0.0, Q distance:0.0
eavluation: step:27100 , loss : -17113.13671875, lr:0.0, Q distance:0.0
eavluation: step:27200 , loss : -46617.59375, lr:0.0, Q distance:0.0
eavluation: step:27300 , loss : 12915.232421875, lr:0.0, Q distance:0.0
eavluation: step:27400 , loss : -21542.076171875, lr:0.0, Q distance:0.0
eavluation: step:27500 , loss : -82575.34375, lr:0.0, Q distance:0.0
eavluation: step:27600 , loss : -50242.56640625, lr:0.0, Q distance:0.0
eavluation: step:27700 , loss : 15109.5380859375, lr:0.0, Q distance:0.0
eavluation: step:27800 , loss : -17440.615234375, lr:0.0, Q distance:0.0
eavluation: step:27900 , loss : -56613.484375, lr:0.0, Q distance:0.0
eavluation: step:28000 , loss : -60855.7421875, lr:0.0, Q distance:0.0
eavluation: step:28100 , loss : -3183.731201171875, lr:0.0, Q distance:0.0
eavluation: step:28200 , loss : -68773.796875, lr:0.0, Q distance:0.0
eavluation: step:28300 , loss : -26768.033203125, lr:0.0, Q distance:0.0
eavluation: step:28400 , loss : -34834.0625, lr:0.0, Q distance:0.0
eavluation: step:28500 , loss : 9070.720703125, lr:0.0, Q distance:0.0
eavluation: step:28600 , loss : 20132.359375, lr:0.0, Q distance:0.0
eavluation: step:28700 , loss : 11426.833984375, lr:0.0, Q distance:0.0
eavluation: step:28800 , loss : -29277.373046875, lr:0.0, Q distance:0.0
eavluation: step:28900 , loss : -69647.59375, lr:0.0, Q distance:0.0
eavluation: step:29000 , loss : -71407.75, lr:0.0, Q distance:0.0
eavluation: step:29100 , loss : -28070.064453125, lr:0.0, Q distance:0.0
eavluation: step:29200 , loss : -20005.998046875, lr:0.0, Q distance:0.0
eavluation: step:29300 , loss : -15934.3515625, lr:0.0, Q distance:0.0
eavluation: step:29400 , loss : -88137.2734375, lr:0.0, Q distance:0.0
eavluation: step:29500 , loss : -8479.705078125, lr:0.0, Q distance:0.0
eavluation: step:29600 , loss : -22386.462890625, lr:0.0, Q distance:0.0
eavluation: step:29700 , loss : -72441.0078125, lr:0.0, Q distance:0.0
eavluation: step:29800 , loss : -20177.765625, lr:0.0, Q distance:0.0
eavluation: step:29900 , loss : -24249.85546875, lr:0.0, Q distance:0.0
Success
Traceback (most recent call last):
  File "densifier_v2_cp.py", line 400, in <module>
    densifier.train_lexicon(labels)
  File "densifier_v2_cp.py", line 177, in train_lexicon
    self.fit(labels)
  File "densifier_v2_cp.py", line 58, in fit
    self.induced_lexicon.to_csv('./step/step_save'+str(i_step)+'.csv', index=True, encoding='utf-8')
NameError: name 'i_step' is not defined
